,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Lagoa,0,PT,1566515815,61,37.14,-8.45,299.15,2.6
1,Carnarvon,15,ZA,1566515785,25,-30.97,22.13,287.9,3.85
2,Mataura,77,NZ,1566515711,86,-46.19,168.86,283.71,0.89
3,Ushuaia,40,AR,1566515774,75,-54.81,-68.31,278.15,1.5
4,Bambous Virieux,40,MU,1566515823,94,-20.34,57.76,293.15,3.6
5,Linxia,93,CN,1566515824,87,35.6,103.21,285.7,0.78
6,Manadhoo,100,MV,1566515825,79,5.77,73.38,300.7,5.59
7,San Carlos de Bariloche,0,AR,1566515827,83,-41.13,-71.31,281.15,3.1
8,Sibu,75,MY,1566515828,94,2.29,111.83,297.15,2.1
9,Rio Gallegos,0,AR,1566515830,75,-51.62,-69.22,279.15,1.5
10,Sabha,0,LY,1566515831,24,27.03,14.43,299.3,5.03
11,Bani,24,YE,1566515832,86,16.02,42.93,302.6,2.47
12,Punta Arenas,40,CL,1566515703,81,-53.16,-70.91,279.15,3.1
13,Dikson,94,RU,1566515835,83,73.51,80.55,280.9,5.64
14,Xining,100,CN,1566515836,85,36.62,101.77,284.5,1.09
15,Jamestown,0,AU,1566515837,63,-33.21,138.6,285.8,4.21
16,Vila do Maio,75,CV,1566515839,69,15.13,-23.22,299.15,4.6
17,Ponta do Sol,4,BR,1566515807,71,-20.63,-46.0,291.6,2.43
18,Albany,75,US,1566515621,56,42.65,-73.75,298.15,3.1
19,Inta,97,RU,1566515842,90,66.04,60.13,283.2,2.17
20,Rikitea,70,PF,1566515798,86,-23.12,-134.97,296.8,8.74
21,Ribeira Grande,0,PT,1566515845,90,38.52,-28.7,296.4,3.38
22,Itarema,5,BR,1566515846,82,-2.92,-39.92,296.3,2.24
23,Hithadhoo,100,MV,1566515847,67,-0.6,73.08,301.3,1.08
24,Hilo,1,US,1566515848,58,19.71,-155.08,304.15,4.1
25,Bonwapitse,0,BW,1566515850,47,-23.08,26.7,284.4,1.55
26,Iquitos,40,PE,1566515851,70,-3.75,-73.25,302.15,2.1
27,Imbituba,75,BR,1566515782,77,-28.24,-48.67,288.15,4.6
28,Bredasdorp,84,ZA,1566515853,93,-34.53,20.04,282.59,1.57
29,Chiredzi,0,ZW,1566515855,76,-21.05,31.67,286.1,0.25
